Identifier,Title,Short Title,Code,Start Date,End Date,Ethics ID,Anticipated Participants Count,PPID Format,Visit Name Format,Label Format,Derivative Label Format,Aliquot Label Format,User inputs PPID,User inputs Visit Name,User inputs Specimen Label,Label Sequence Key,Label Pre-print Mode,Description URL,Activity Status,Sites#1#Name,Sites#1#Code,Sites#2#Name,Sites#2#Code,PI#PI Email,Coordinator#1#Coordinator Email,Coordinator#2#Coordinator Email,Label Print Setting#1#Lineage,Label Print Setting#1#Print Mode,Label Print Setting#1#Copies,Label Print Setting#2#Lineage,Label Print Setting#2#Print Mode,Label Print Setting#2#Copies
,Oncology_5000,Oncology_5000,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5001,Oncology_5001,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5002,Oncology_5002,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5003,Oncology_5003,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5004,Oncology_5004,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5005,Oncology_5005,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5006,Oncology_5006,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5007,Oncology_5007,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5008,Oncology_5008,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5009,Oncology_5009,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5010,Oncology_5010,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5011,Oncology_5011,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
