Identifier,Title,Short Title,Code,Start Date,End Date,Ethics ID,Anticipated Participants Count,PPID Format,Visit Name Format,Label Format,Derivative Label Format,Aliquot Label Format,User inputs PPID,User inputs Visit Name,User inputs Specimen Label,Label Sequence Key,Label Pre-print Mode,Description URL,Activity Status,Sites#1#Name,Sites#1#Code,Sites#2#Name,Sites#2#Code,PI#PI Email,Coordinator#1#Coordinator Email,Coordinator#2#Coordinator Email,Label Print Setting#1#Lineage,Label Print Setting#1#Print Mode,Label Print Setting#1#Copies,Label Print Setting#2#Lineage,Label Print Setting#2#Print Mode,Label Print Setting#2#Copies
,Oncology_1,Oncology_1,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_2,Oncology_2,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_3,Oncology_3,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_4,Oncology_4,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_5,Oncology_5,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_6,Oncology_6,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_7,Oncology_7,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_8,Oncology_8,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_9,Oncology_9,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_10,Oncology_10,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
,Oncology_11,Oncology_11,,,,,,,,,,,,,,,,,Active,Biobank Site,,,,kaustubh@krishagni.com,kaustubh@krishagni.com,,,,,,,
